sms_text,category,true_merchant,true_amount
Acct XX999 debited by Rs 572 for Nike on 12-01-2026.,Shopping,Nike,572
"Dear User, INR 4643 spent on Croma at 04-02-2026. Ref: 8932742.",Shopping,Croma,4643
Paid Rs 407 to Spencers via UPI on 26-01-2026. Txn ID: 998877.,Groceries,Spencers,407
UPI txn of Rs 1436 to Practo on 19-01-2026 is successful.,Health,Practo,1436
Paid Rs 1313 to 1mg via UPI on 02-02-2026. Txn ID: 998877.,Health,1mg,1313
Txn of INR 861 done at Practo on 16-01-2026 using UPI.,Health,Practo,861
Alert: You have spent Rs 1795 at IRCTC on 25-01-2026. Clear bal: Rs. 1200.00,Travel,IRCTC,1795
Acct XX999 debited by Rs 1752 for Blinkit on 22-01-2026.,Groceries,Blinkit,1752
"Dear User, INR 1833 spent on Netflix at 18-01-2026. Ref: 8932742.",Entertainment,Netflix,1833
Alert: You have spent Rs 1097 at Reliance Fresh on 06-02-2026. Clear bal: Rs. 1200.00,Groceries,Reliance Fresh,1097
"Dear User, INR 285 spent on Practo at 05-02-2026. Ref: 8932742.",Health,Practo,285
You paid Rs 1542 at Spencers via POS on 13-01-2026.,Groceries,Spencers,1542
UPI txn of Rs 1364 to Hotstar on 05-02-2026 is successful.,Entertainment,Hotstar,1364
Txn of INR 358 done at BigBasket on 10-01-2026 using UPI.,Groceries,BigBasket,358
You paid Rs 917 at Pizza Hut via POS on 08-02-2026.,Food,Pizza Hut,917
UPI txn of Rs 1705 to Apollo Pharmacy on 11-01-2026 is successful.,Health,Apollo Pharmacy,1705
Rs. 128 debited from a/c ending XX1234 on 20-01-2026 to Spotify. Avl Bal: Rs 15000.,Entertainment,Spotify,128
Acct XX999 debited by Rs 964 for 1mg on 12-01-2026.,Health,1mg,964
Paid Rs 1466 to Netmeds via UPI on 22-01-2026. Txn ID: 998877.,Health,Netmeds,1466
Txn of INR 1036 done at PVR on 09-02-2026 using UPI.,Entertainment,PVR,1036
"Dear User, INR 1179 spent on Subway at 26-01-2026. Ref: 8932742.",Food,Subway,1179
UPI txn of Rs 1030 to KFC on 25-01-2026 is successful.,Food,KFC,1030
UPI txn of Rs 637 to Zomato on 31-01-2026 is successful.,Food,Zomato,637
Alert: You have spent Rs 553 at Dr Lal Pathlabs on 13-01-2026. Clear bal: Rs. 1200.00,Health,Dr Lal Pathlabs,553
Rs. 1384 debited from a/c ending XX1234 on 30-01-2026 to Haldirams. Avl Bal: Rs 15000.,Food,Haldirams,1384
You paid Rs 88 at SpiceJet via POS on 28-01-2026.,Travel,SpiceJet,88
INR 509 charged on card ending 4455 at Dmart on 04-02-2026.,Groceries,Dmart,509
You paid Rs 631 at IRCTC via POS on 10-01-2026.,Travel,IRCTC,631
Paid Rs 2745 to Nike via UPI on 16-01-2026. Txn ID: 998877.,Shopping,Nike,2745
Acct XX999 debited by Rs 3921 for Amazon on 14-01-2026.,Shopping,Amazon,3921
You paid Rs 487 at Reliance Fresh via POS on 25-01-2026.,Groceries,Reliance Fresh,487
Alert: You have spent Rs 378 at Spencers on 13-01-2026. Clear bal: Rs. 1200.00,Groceries,Spencers,378
You paid Rs 1868 at SonyLIV via POS on 09-02-2026.,Entertainment,SonyLIV,1868
Rs. 400 debited from a/c ending XX1234 on 23-01-2026 to Blinkit. Avl Bal: Rs 15000.,Groceries,Blinkit,400
UPI txn of Rs 1163 to Apollo Pharmacy on 28-01-2026 is successful.,Health,Apollo Pharmacy,1163
Txn of INR 2632 done at Decathlon on 18-01-2026 using UPI.,Shopping,Decathlon,2632
Acct XX999 debited by Rs 4856 for Zara on 24-01-2026.,Shopping,Zara,4856
"Dear User, INR 153 spent on IRCTC at 16-01-2026. Ref: 8932742.",Travel,IRCTC,153
Rs. 533 debited from a/c ending XX1234 on 23-01-2026 to Spencers. Avl Bal: Rs 15000.,Groceries,Spencers,533
Acct XX999 debited by Rs 545 for Subway on 22-01-2026.,Food,Subway,545
Paid Rs 1943 to Reliance Fresh via UPI on 01-02-2026. Txn ID: 998877.,Groceries,Reliance Fresh,1943
Txn of INR 486 done at Practo on 12-01-2026 using UPI.,Health,Practo,486
INR 1271 charged on card ending 4455 at Decathlon on 02-02-2026.,Shopping,Decathlon,1271
Rs. 1117 debited from a/c ending XX1234 on 31-01-2026 to Practo. Avl Bal: Rs 15000.,Health,Practo,1117
Paid Rs 56 to SpiceJet via UPI on 28-01-2026. Txn ID: 998877.,Travel,SpiceJet,56
Acct XX999 debited by Rs 827 for Gaana on 17-01-2026.,Entertainment,Gaana,827
UPI txn of Rs 248 to SonyLIV on 23-01-2026 is successful.,Entertainment,SonyLIV,248
Acct XX999 debited by Rs 4978 for Nike on 25-01-2026.,Shopping,Nike,4978
Acct XX999 debited by Rs 1781 for Croma on 14-01-2026.,Shopping,Croma,1781
Paid Rs 2614 to Croma via UPI on 17-01-2026. Txn ID: 998877.,Shopping,Croma,2614
Alert: You have spent Rs 1259 at 1mg on 26-01-2026. Clear bal: Rs. 1200.00,Health,1mg,1259
You paid Rs 355 at IRCTC via POS on 04-02-2026.,Travel,IRCTC,355
Rs. 672 debited from a/c ending XX1234 on 02-02-2026 to Shell Petrol. Avl Bal: Rs 15000.,Travel,Shell Petrol,672
Paid Rs 1376 to Metro via UPI on 26-01-2026. Txn ID: 998877.,Travel,Metro,1376
Rs. 160 debited from a/c ending XX1234 on 15-01-2026 to SpiceJet. Avl Bal: Rs 15000.,Travel,SpiceJet,160
"Dear User, INR 67 spent on RedBus at 12-01-2026. Ref: 8932742.",Travel,RedBus,67
Acct XX999 debited by Rs 2719 for Myntra on 16-01-2026.,Shopping,Myntra,2719
Paid Rs 3833 to Ajio via UPI on 24-01-2026. Txn ID: 998877.,Shopping,Ajio,3833
Rs. 1905 debited from a/c ending XX1234 on 31-01-2026 to Uber. Avl Bal: Rs 15000.,Travel,Uber,1905
Paid Rs 972 to Decathlon via UPI on 09-02-2026. Txn ID: 998877.,Shopping,Decathlon,972
"Dear User, INR 1115 spent on Starbucks at 04-02-2026. Ref: 8932742.",Food,Starbucks,1115
Acct XX999 debited by Rs 1836 for Uber on 28-01-2026.,Travel,Uber,1836
"Dear User, INR 1886 spent on Netflix at 31-01-2026. Ref: 8932742.",Entertainment,Netflix,1886
You paid Rs 993 at Ola via POS on 03-02-2026.,Travel,Ola,993
"Dear User, INR 170 spent on Netmeds at 06-02-2026. Ref: 8932742.",Health,Netmeds,170
INR 4732 charged on card ending 4455 at Ajio on 26-01-2026.,Shopping,Ajio,4732
Txn of INR 573 done at Zara on 10-01-2026 using UPI.,Shopping,Zara,573
Rs. 2630 debited from a/c ending XX1234 on 03-02-2026 to Flipkart. Avl Bal: Rs 15000.,Shopping,Flipkart,2630
Paid Rs 995 to Netflix via UPI on 14-01-2026. Txn ID: 998877.,Entertainment,Netflix,995
INR 145 charged on card ending 4455 at Reliance Fresh on 18-01-2026.,Groceries,Reliance Fresh,145
Rs. 712 debited from a/c ending XX1234 on 04-02-2026 to Gaana. Avl Bal: Rs 15000.,Entertainment,Gaana,712
Paid Rs 1167 to KFC via UPI on 25-01-2026. Txn ID: 998877.,Food,KFC,1167
INR 798 charged on card ending 4455 at 1mg on 30-01-2026.,Health,1mg,798
Paid Rs 4008 to Flipkart via UPI on 08-02-2026. Txn ID: 998877.,Shopping,Flipkart,4008
Txn of INR 860 done at Indian Oil on 27-01-2026 using UPI.,Travel,Indian Oil,860
"Dear User, INR 855 spent on IndiGo at 17-01-2026. Ref: 8932742.",Travel,IndiGo,855
UPI txn of Rs 476 to SpiceJet on 29-01-2026 is successful.,Travel,SpiceJet,476
Acct XX999 debited by Rs 309 for 1mg on 12-01-2026.,Health,1mg,309
"Dear User, INR 3893 spent on H&M at 17-01-2026. Ref: 8932742.",Shopping,H&M,3893
Txn of INR 2777 done at Croma on 23-01-2026 using UPI.,Shopping,Croma,2777
UPI txn of Rs 1330 to Gym Membership on 18-01-2026 is successful.,Health,Gym Membership,1330
Acct XX999 debited by Rs 1793 for RedBus on 13-01-2026.,Travel,RedBus,1793
Rs. 757 debited from a/c ending XX1234 on 28-01-2026 to Pizza Hut. Avl Bal: Rs 15000.,Food,Pizza Hut,757
Alert: You have spent Rs 1553 at Practo on 21-01-2026. Clear bal: Rs. 1200.00,Health,Practo,1553
INR 315 charged on card ending 4455 at Netmeds on 28-01-2026.,Health,Netmeds,315
Txn of INR 183 done at Ola on 16-01-2026 using UPI.,Travel,Ola,183
Txn of INR 708 done at Burger King on 30-01-2026 using UPI.,Food,Burger King,708
UPI txn of Rs 593 to Dmart on 27-01-2026 is successful.,Groceries,Dmart,593
Paid Rs 1129 to Dr Lal Pathlabs via UPI on 08-02-2026. Txn ID: 998877.,Health,Dr Lal Pathlabs,1129
Alert: You have spent Rs 942 at Practo on 05-02-2026. Clear bal: Rs. 1200.00,Health,Practo,942
Txn of INR 646 done at BookMyShow on 19-01-2026 using UPI.,Entertainment,BookMyShow,646
UPI txn of Rs 3096 to Amazon on 27-01-2026 is successful.,Shopping,Amazon,3096
Acct XX999 debited by Rs 921 for Gym Membership on 20-01-2026.,Health,Gym Membership,921
You paid Rs 980 at Metro via POS on 06-02-2026.,Travel,Metro,980
UPI txn of Rs 179 to IndiGo on 02-02-2026 is successful.,Travel,IndiGo,179
Paid Rs 1445 to Uber via UPI on 05-02-2026. Txn ID: 998877.,Travel,Uber,1445
Paid Rs 1560 to Gaana via UPI on 31-01-2026. Txn ID: 998877.,Entertainment,Gaana,1560
Alert: You have spent Rs 3667 at Flipkart on 27-01-2026. Clear bal: Rs. 1200.00,Shopping,Flipkart,3667
INR 1231 charged on card ending 4455 at BookMyShow on 12-01-2026.,Entertainment,BookMyShow,1231
You paid Rs 1424 at Apollo Pharmacy via POS on 15-01-2026.,Health,Apollo Pharmacy,1424
UPI txn of Rs 129 to Netflix on 22-01-2026 is successful.,Entertainment,Netflix,129
INR 1701 charged on card ending 4455 at Metro on 06-02-2026.,Travel,Metro,1701
Paid Rs 859 to Croma via UPI on 31-01-2026. Txn ID: 998877.,Shopping,Croma,859
Acct XX999 debited by Rs 926 for Prime Video on 09-02-2026.,Entertainment,Prime Video,926
Rs. 1635 debited from a/c ending XX1234 on 01-02-2026 to Gaana. Avl Bal: Rs 15000.,Entertainment,Gaana,1635
"Dear User, INR 1048 spent on Prime Video at 09-02-2026. Ref: 8932742.",Entertainment,Prime Video,1048
"Dear User, INR 1585 spent on PVR at 25-01-2026. Ref: 8932742.",Entertainment,PVR,1585
Paid Rs 758 to Pizza Hut via UPI on 25-01-2026. Txn ID: 998877.,Food,Pizza Hut,758
UPI txn of Rs 1252 to Dr Lal Pathlabs on 23-01-2026 is successful.,Health,Dr Lal Pathlabs,1252
Acct XX999 debited by Rs 185 for Pizza Hut on 22-01-2026.,Food,Pizza Hut,185
"Dear User, INR 686 spent on Netflix at 15-01-2026. Ref: 8932742.",Entertainment,Netflix,686
"Dear User, INR 1990 spent on Blinkit at 03-02-2026. Ref: 8932742.",Groceries,Blinkit,1990
Rs. 3792 debited from a/c ending XX1234 on 03-02-2026 to Amazon. Avl Bal: Rs 15000.,Shopping,Amazon,3792
You paid Rs 2105 at Nike via POS on 12-01-2026.,Shopping,Nike,2105
UPI txn of Rs 2502 to Amazon on 31-01-2026 is successful.,Shopping,Amazon,2502
Txn of INR 645 done at Flipkart on 02-02-2026 using UPI.,Shopping,Flipkart,645
INR 1211 charged on card ending 4455 at More Supermarket on 01-02-2026.,Groceries,More Supermarket,1211
INR 3061 charged on card ending 4455 at Decathlon on 28-01-2026.,Shopping,Decathlon,3061
Txn of INR 479 done at Swiggy on 31-01-2026 using UPI.,Food,Swiggy,479
Rs. 2764 debited from a/c ending XX1234 on 21-01-2026 to Zara. Avl Bal: Rs 15000.,Shopping,Zara,2764
UPI txn of Rs 1255 to BigBasket on 06-02-2026 is successful.,Groceries,BigBasket,1255
Paid Rs 574 to PVR via UPI on 28-01-2026. Txn ID: 998877.,Entertainment,PVR,574
INR 807 charged on card ending 4455 at Spencers on 01-02-2026.,Groceries,Spencers,807
INR 4914 charged on card ending 4455 at Decathlon on 31-01-2026.,Shopping,Decathlon,4914
Paid Rs 1149 to Netflix via UPI on 12-01-2026. Txn ID: 998877.,Entertainment,Netflix,1149
UPI txn of Rs 2374 to Myntra on 04-02-2026 is successful.,Shopping,Myntra,2374
INR 1065 charged on card ending 4455 at Gym Membership on 22-01-2026.,Health,Gym Membership,1065
Paid Rs 2967 to Ajio via UPI on 02-02-2026. Txn ID: 998877.,Shopping,Ajio,2967
UPI txn of Rs 816 to Ola on 30-01-2026 is successful.,Travel,Ola,816
Txn of INR 753 done at Zomato on 20-01-2026 using UPI.,Food,Zomato,753
Txn of INR 2460 done at Decathlon on 19-01-2026 using UPI.,Shopping,Decathlon,2460
Alert: You have spent Rs 1460 at More Supermarket on 21-01-2026. Clear bal: Rs. 1200.00,Groceries,More Supermarket,1460
INR 93 charged on card ending 4455 at Spotify on 15-01-2026.,Entertainment,Spotify,93
Alert: You have spent Rs 427 at IRCTC on 23-01-2026. Clear bal: Rs. 1200.00,Travel,IRCTC,427
Txn of INR 3077 done at Amazon on 14-01-2026 using UPI.,Shopping,Amazon,3077
INR 144 charged on card ending 4455 at Blinkit on 20-01-2026.,Groceries,Blinkit,144
"Dear User, INR 1213 spent on Croma at 12-01-2026. Ref: 8932742.",Shopping,Croma,1213
You paid Rs 1184 at McDonalds via POS on 20-01-2026.,Food,McDonalds,1184
Txn of INR 665 done at Gaana on 25-01-2026 using UPI.,Entertainment,Gaana,665
Alert: You have spent Rs 300 at Netflix on 21-01-2026. Clear bal: Rs. 1200.00,Entertainment,Netflix,300
"Dear User, INR 1337 spent on Gym Membership at 12-01-2026. Ref: 8932742.",Health,Gym Membership,1337
Rs. 1507 debited from a/c ending XX1234 on 21-01-2026 to 1mg. Avl Bal: Rs 15000.,Health,1mg,1507
Acct XX999 debited by Rs 424 for Subway on 25-01-2026.,Food,Subway,424
Acct XX999 debited by Rs 1772 for PVR on 07-02-2026.,Entertainment,PVR,1772
Acct XX999 debited by Rs 2937 for Reliance Trends on 01-02-2026.,Shopping,Reliance Trends,2937
UPI txn of Rs 3560 to Croma on 13-01-2026 is successful.,Shopping,Croma,3560
Acct XX999 debited by Rs 2735 for Myntra on 18-01-2026.,Shopping,Myntra,2735
"Dear User, INR 406 spent on Indian Oil at 28-01-2026. Ref: 8932742.",Travel,Indian Oil,406
Acct XX999 debited by Rs 240 for Gym Membership on 26-01-2026.,Health,Gym Membership,240
Paid Rs 503 to Indian Oil via UPI on 03-02-2026. Txn ID: 998877.,Travel,Indian Oil,503
Txn of INR 1531 done at Indian Oil on 30-01-2026 using UPI.,Travel,Indian Oil,1531
Txn of INR 1688 done at Gym Membership on 26-01-2026 using UPI.,Health,Gym Membership,1688
Paid Rs 4750 to Decathlon via UPI on 20-01-2026. Txn ID: 998877.,Shopping,Decathlon,4750
Acct XX999 debited by Rs 901 for Netmeds on 16-01-2026.,Health,Netmeds,901
Txn of INR 523 done at BigBasket on 30-01-2026 using UPI.,Groceries,BigBasket,523
Rs. 1877 debited from a/c ending XX1234 on 07-02-2026 to BigBasket. Avl Bal: Rs 15000.,Groceries,BigBasket,1877
Rs. 1329 debited from a/c ending XX1234 on 29-01-2026 to Pizza Hut. Avl Bal: Rs 15000.,Food,Pizza Hut,1329
INR 2040 charged on card ending 4455 at Decathlon on 24-01-2026.,Shopping,Decathlon,2040
You paid Rs 401 at Pizza Hut via POS on 26-01-2026.,Food,Pizza Hut,401
"Dear User, INR 1856 spent on Myntra at 04-02-2026. Ref: 8932742.",Shopping,Myntra,1856
You paid Rs 4463 at Myntra via POS on 11-01-2026.,Shopping,Myntra,4463
You paid Rs 1791 at IRCTC via POS on 26-01-2026.,Travel,IRCTC,1791
INR 1439 charged on card ending 4455 at Indian Oil on 09-02-2026.,Travel,Indian Oil,1439
Paid Rs 604 to Reliance Fresh via UPI on 05-02-2026. Txn ID: 998877.,Groceries,Reliance Fresh,604
Alert: You have spent Rs 623 at Gaana on 12-01-2026. Clear bal: Rs. 1200.00,Entertainment,Gaana,623
"Dear User, INR 1830 spent on Dr Lal Pathlabs at 20-01-2026. Ref: 8932742.",Health,Dr Lal Pathlabs,1830
UPI txn of Rs 1293 to Ola on 03-02-2026 is successful.,Travel,Ola,1293
Paid Rs 1994 to Gym Membership via UPI on 29-01-2026. Txn ID: 998877.,Health,Gym Membership,1994
Alert: You have spent Rs 1532 at Gym Membership on 14-01-2026. Clear bal: Rs. 1200.00,Health,Gym Membership,1532
Rs. 1204 debited from a/c ending XX1234 on 19-01-2026 to Dmart. Avl Bal: Rs 15000.,Groceries,Dmart,1204
Paid Rs 369 to Uber via UPI on 10-01-2026. Txn ID: 998877.,Travel,Uber,369
You paid Rs 1132 at Gym Membership via POS on 21-01-2026.,Health,Gym Membership,1132
"Dear User, INR 553 spent on Gym Membership at 04-02-2026. Ref: 8932742.",Health,Gym Membership,553
Rs. 1730 debited from a/c ending XX1234 on 29-01-2026 to Netmeds. Avl Bal: Rs 15000.,Health,Netmeds,1730
"Dear User, INR 810 spent on KFC at 23-01-2026. Ref: 8932742.",Food,KFC,810
Rs. 2808 debited from a/c ending XX1234 on 25-01-2026 to Amazon. Avl Bal: Rs 15000.,Shopping,Amazon,2808
Paid Rs 419 to Dr Lal Pathlabs via UPI on 16-01-2026. Txn ID: 998877.,Health,Dr Lal Pathlabs,419
Rs. 1856 debited from a/c ending XX1234 on 17-01-2026 to BigBasket. Avl Bal: Rs 15000.,Groceries,BigBasket,1856
Acct XX999 debited by Rs 1965 for Netflix on 01-02-2026.,Entertainment,Netflix,1965
Paid Rs 532 to Spencers via UPI on 05-02-2026. Txn ID: 998877.,Groceries,Spencers,532
INR 1831 charged on card ending 4455 at SpiceJet on 19-01-2026.,Travel,SpiceJet,1831
"Dear User, INR 1317 spent on Metro at 16-01-2026. Ref: 8932742.",Travel,Metro,1317
"Dear User, INR 1693 spent on Gaana at 27-01-2026. Ref: 8932742.",Entertainment,Gaana,1693
UPI txn of Rs 1225 to RedBus on 01-02-2026 is successful.,Travel,RedBus,1225
Paid Rs 182 to Apollo Pharmacy via UPI on 26-01-2026. Txn ID: 998877.,Health,Apollo Pharmacy,182
"Dear User, INR 484 spent on KFC at 21-01-2026. Ref: 8932742.",Food,KFC,484
Paid Rs 4397 to H&M via UPI on 12-01-2026. Txn ID: 998877.,Shopping,H&M,4397
INR 1714 charged on card ending 4455 at Zara on 13-01-2026.,Shopping,Zara,1714
Txn of INR 303 done at Blinkit on 23-01-2026 using UPI.,Groceries,Blinkit,303
UPI txn of Rs 1027 to McDonalds on 22-01-2026 is successful.,Food,McDonalds,1027
Acct XX999 debited by Rs 1542 for Gym Membership on 27-01-2026.,Health,Gym Membership,1542
UPI txn of Rs 1965 to Flipkart on 21-01-2026 is successful.,Shopping,Flipkart,1965
Rs. 3799 debited from a/c ending XX1234 on 15-01-2026 to Nike. Avl Bal: Rs 15000.,Shopping,Nike,3799
INR 1124 charged on card ending 4455 at Dmart on 09-02-2026.,Groceries,Dmart,1124
Rs. 1389 debited from a/c ending XX1234 on 15-01-2026 to Netflix. Avl Bal: Rs 15000.,Entertainment,Netflix,1389
UPI txn of Rs 712 to Burger King on 05-02-2026 is successful.,Food,Burger King,712
Rs. 944 debited from a/c ending XX1234 on 27-01-2026 to Netmeds. Avl Bal: Rs 15000.,Health,Netmeds,944
INR 1796 charged on card ending 4455 at Croma on 14-01-2026.,Shopping,Croma,1796
Alert: You have spent Rs 1544 at SonyLIV on 31-01-2026. Clear bal: Rs. 1200.00,Entertainment,SonyLIV,1544
Paid Rs 1487 to PVR via UPI on 27-01-2026. Txn ID: 998877.,Entertainment,PVR,1487
Txn of INR 1066 done at Netmeds on 10-01-2026 using UPI.,Health,Netmeds,1066
"Dear User, INR 1280 spent on Gym Membership at 27-01-2026. Ref: 8932742.",Health,Gym Membership,1280
"Dear User, INR 389 spent on Burger King at 30-01-2026. Ref: 8932742.",Food,Burger King,389
Paid Rs 1811 to Netmeds via UPI on 24-01-2026. Txn ID: 998877.,Health,Netmeds,1811
You paid Rs 1681 at Uber via POS on 03-02-2026.,Travel,Uber,1681
Alert: You have spent Rs 1504 at SonyLIV on 29-01-2026. Clear bal: Rs. 1200.00,Entertainment,SonyLIV,1504
INR 1537 charged on card ending 4455 at RedBus on 25-01-2026.,Travel,RedBus,1537
UPI txn of Rs 1606 to Apollo Pharmacy on 15-01-2026 is successful.,Health,Apollo Pharmacy,1606
You paid Rs 1633 at Reliance Fresh via POS on 28-01-2026.,Groceries,Reliance Fresh,1633
Acct XX999 debited by Rs 813 for Reliance Fresh on 14-01-2026.,Groceries,Reliance Fresh,813
You paid Rs 1174 at Zomato via POS on 20-01-2026.,Food,Zomato,1174
INR 101 charged on card ending 4455 at Netmeds on 23-01-2026.,Health,Netmeds,101
You paid Rs 95 at Dr Lal Pathlabs via POS on 14-01-2026.,Health,Dr Lal Pathlabs,95
"Dear User, INR 1517 spent on 1mg at 15-01-2026. Ref: 8932742.",Health,1mg,1517
Rs. 1552 debited from a/c ending XX1234 on 08-02-2026 to Apollo Pharmacy. Avl Bal: Rs 15000.,Health,Apollo Pharmacy,1552
Paid Rs 1874 to BigBasket via UPI on 11-01-2026. Txn ID: 998877.,Groceries,BigBasket,1874
You paid Rs 1749 at 1mg via POS on 19-01-2026.,Health,1mg,1749
Paid Rs 531 to KFC via UPI on 30-01-2026. Txn ID: 998877.,Food,KFC,531
Txn of INR 1372 done at Blinkit on 30-01-2026 using UPI.,Groceries,Blinkit,1372
Paid Rs 930 to Dominos via UPI on 09-02-2026. Txn ID: 998877.,Food,Dominos,930
Rs. 1861 debited from a/c ending XX1234 on 10-01-2026 to IndiGo. Avl Bal: Rs 15000.,Travel,IndiGo,1861
You paid Rs 3555 at Myntra via POS on 16-01-2026.,Shopping,Myntra,3555
UPI txn of Rs 1284 to Apollo Pharmacy on 08-02-2026 is successful.,Health,Apollo Pharmacy,1284
UPI txn of Rs 1744 to Uber on 06-02-2026 is successful.,Travel,Uber,1744
"Dear User, INR 813 spent on BigBasket at 06-02-2026. Ref: 8932742.",Groceries,BigBasket,813
UPI txn of Rs 1426 to Starbucks on 01-02-2026 is successful.,Food,Starbucks,1426
Alert: You have spent Rs 561 at SonyLIV on 04-02-2026. Clear bal: Rs. 1200.00,Entertainment,SonyLIV,561
INR 403 charged on card ending 4455 at KFC on 16-01-2026.,Food,KFC,403
INR 696 charged on card ending 4455 at IRCTC on 06-02-2026.,Travel,IRCTC,696
Acct XX999 debited by Rs 581 for Netmeds on 19-01-2026.,Health,Netmeds,581
INR 983 charged on card ending 4455 at BigBasket on 12-01-2026.,Groceries,BigBasket,983
Alert: You have spent Rs 1957 at Croma on 06-02-2026. Clear bal: Rs. 1200.00,Shopping,Croma,1957
"Dear User, INR 1985 spent on Nike at 26-01-2026. Ref: 8932742.",Shopping,Nike,1985
Alert: You have spent Rs 249 at Pizza Hut on 17-01-2026. Clear bal: Rs. 1200.00,Food,Pizza Hut,249
UPI txn of Rs 4523 to Reliance Trends on 08-02-2026 is successful.,Shopping,Reliance Trends,4523
INR 1345 charged on card ending 4455 at Haldirams on 27-01-2026.,Food,Haldirams,1345
Paid Rs 1224 to More Supermarket via UPI on 26-01-2026. Txn ID: 998877.,Groceries,More Supermarket,1224
You paid Rs 684 at 1mg via POS on 11-01-2026.,Health,1mg,684
"Dear User, INR 1134 spent on KFC at 24-01-2026. Ref: 8932742.",Food,KFC,1134
"Dear User, INR 1035 spent on Swiggy at 10-01-2026. Ref: 8932742.",Food,Swiggy,1035
UPI txn of Rs 1486 to Dmart on 16-01-2026 is successful.,Groceries,Dmart,1486
Acct XX999 debited by Rs 1539 for Amazon on 15-01-2026.,Shopping,Amazon,1539
Alert: You have spent Rs 348 at Netmeds on 09-02-2026. Clear bal: Rs. 1200.00,Health,Netmeds,348
Paid Rs 461 to Haldirams via UPI on 16-01-2026. Txn ID: 998877.,Food,Haldirams,461
Alert: You have spent Rs 4540 at Decathlon on 20-01-2026. Clear bal: Rs. 1200.00,Shopping,Decathlon,4540
You paid Rs 1979 at Ola via POS on 29-01-2026.,Travel,Ola,1979
INR 1170 charged on card ending 4455 at Dmart on 29-01-2026.,Groceries,Dmart,1170
INR 841 charged on card ending 4455 at SonyLIV on 17-01-2026.,Entertainment,SonyLIV,841
UPI txn of Rs 723 to More Supermarket on 16-01-2026 is successful.,Groceries,More Supermarket,723
INR 1487 charged on card ending 4455 at Spencers on 31-01-2026.,Groceries,Spencers,1487
You paid Rs 1741 at SonyLIV via POS on 25-01-2026.,Entertainment,SonyLIV,1741
Txn of INR 1041 done at BookMyShow on 26-01-2026 using UPI.,Entertainment,BookMyShow,1041
INR 4919 charged on card ending 4455 at H&M on 13-01-2026.,Shopping,H&M,4919
INR 1376 charged on card ending 4455 at BigBasket on 14-01-2026.,Groceries,BigBasket,1376
"Dear User, INR 325 spent on Reliance Fresh at 25-01-2026. Ref: 8932742.",Groceries,Reliance Fresh,325
UPI txn of Rs 1581 to Gym Membership on 04-02-2026 is successful.,Health,Gym Membership,1581
Rs. 1687 debited from a/c ending XX1234 on 15-01-2026 to Practo. Avl Bal: Rs 15000.,Health,Practo,1687
Alert: You have spent Rs 740 at Prime Video on 12-01-2026. Clear bal: Rs. 1200.00,Entertainment,Prime Video,740
Rs. 1308 debited from a/c ending XX1234 on 12-01-2026 to Blinkit. Avl Bal: Rs 15000.,Groceries,Blinkit,1308
UPI txn of Rs 246 to Hotstar on 29-01-2026 is successful.,Entertainment,Hotstar,246
Acct XX999 debited by Rs 614 for Blinkit on 12-01-2026.,Groceries,Blinkit,614
You paid Rs 1569 at Shell Petrol via POS on 10-01-2026.,Travel,Shell Petrol,1569
You paid Rs 1918 at Myntra via POS on 20-01-2026.,Shopping,Myntra,1918
"Dear User, INR 348 spent on Dr Lal Pathlabs at 13-01-2026. Ref: 8932742.",Health,Dr Lal Pathlabs,348
Alert: You have spent Rs 4019 at Reliance Trends on 04-02-2026. Clear bal: Rs. 1200.00,Shopping,Reliance Trends,4019
Alert: You have spent Rs 2346 at Myntra on 27-01-2026. Clear bal: Rs. 1200.00,Shopping,Myntra,2346
UPI txn of Rs 1842 to IndiGo on 01-02-2026 is successful.,Travel,IndiGo,1842
Txn of INR 702 done at Gym Membership on 09-02-2026 using UPI.,Health,Gym Membership,702
Acct XX999 debited by Rs 634 for More Supermarket on 10-01-2026.,Groceries,More Supermarket,634
Txn of INR 748 done at Nike on 16-01-2026 using UPI.,Shopping,Nike,748
Acct XX999 debited by Rs 1823 for Nike on 07-02-2026.,Shopping,Nike,1823
"Dear User, INR 1092 spent on Zomato at 18-01-2026. Ref: 8932742.",Food,Zomato,1092
Rs. 4514 debited from a/c ending XX1234 on 18-01-2026 to Myntra. Avl Bal: Rs 15000.,Shopping,Myntra,4514
"Dear User, INR 968 spent on SpiceJet at 18-01-2026. Ref: 8932742.",Travel,SpiceJet,968
Paid Rs 873 to Gym Membership via UPI on 19-01-2026. Txn ID: 998877.,Health,Gym Membership,873
Alert: You have spent Rs 1917 at Gym Membership on 25-01-2026. Clear bal: Rs. 1200.00,Health,Gym Membership,1917
Txn of INR 1370 done at Metro on 29-01-2026 using UPI.,Travel,Metro,1370
Paid Rs 1755 to BigBasket via UPI on 11-01-2026. Txn ID: 998877.,Groceries,BigBasket,1755
UPI txn of Rs 744 to PVR on 13-01-2026 is successful.,Entertainment,PVR,744
Paid Rs 725 to Prime Video via UPI on 12-01-2026. Txn ID: 998877.,Entertainment,Prime Video,725
Alert: You have spent Rs 1284 at Dominos on 26-01-2026. Clear bal: Rs. 1200.00,Food,Dominos,1284
Acct XX999 debited by Rs 1640 for BookMyShow on 01-02-2026.,Entertainment,BookMyShow,1640
