amount,merchant,date,original_text,true_category
359,card ending 4455,03-02-2026,INR 359 charged on card ending 4455 at Spotify on 03-02-2026.,Entertainment
817,Dr Lal P,27-01-2026,You paid Rs 817 at Dr Lal Pathlabs via POS on 27-01-2026.,Health
218,Subway,19-01-2026,Acct XX999 debited by Rs 218 for Subway on 19-01-2026.,Food
1340,Croma,26-01-2026,Acct XX999 debited by Rs 1340 for Croma on 26-01-2026.,Shopping
371,07-02-2026 to Spotify,07-02-2026,Rs. 371 debited from a/c ending XX1234 on 07-02-2026 to Spotify. Avl Bal: Rs 15000.,Entertainment
1145,Subway,17-01-2026,"Dear User, INR 1145 spent on Subway at 17-01-2026. Ref: 8932742.",Food
229,card ending 4455,01-02-2026,INR 229 charged on card ending 4455 at RedBus on 01-02-2026.,Travel
1146,Blinkit,20-01-2026,Paid Rs 1146 to Blinkit via UPI on 20-01-2026. Txn ID: 998877.,Groceries
1104,PVR,01-02-2026,"Dear User, INR 1104 spent on PVR at 01-02-2026. Ref: 8932742.",Entertainment
1836,Gym Membership,28-01-2026,Txn of INR 1836 done at Gym Membership on 28-01-2026 using UPI.,Health
2205,Reliance Trends,01-02-2026,Txn of INR 2205 done at Reliance Trends on 01-02-2026 using UPI.,Shopping
870,1mg,29-01-2026,You paid Rs 870 at 1mg via POS on 29-01-2026.,Health
1720,PVR,19-01-2026,UPI txn of Rs 1720 to PVR on 19-01-2026 is successful.,Entertainment
1159,02-02-2026 to Gaana,02-02-2026,Rs. 1159 debited from a/c ending XX1234 on 02-02-2026 to Gaana. Avl Bal: Rs 15000.,Entertainment
196,Netmeds,23-01-2026,"Dear User, INR 196 spent on Netmeds at 23-01-2026. Ref: 8932742.",Health
4295,Zara,01-02-2026,Paid Rs 4295 to Zara via UPI on 01-02-2026. Txn ID: 998877.,Shopping
690,Dominos,04-02-2026,Acct XX999 debited by Rs 690 for Dominos on 04-02-2026.,Food
1928,SpiceJet,13-01-2026,UPI txn of Rs 1928 to SpiceJet on 13-01-2026 is successful.,Travel
547,Shell Petrol,13-01-2026,Txn of INR 547 done at Shell Petrol on 13-01-2026 using UPI.,Travel
531,McD,21-01-2026,UPI txn of Rs 531 to McDonalds on 21-01-2026 is successful.,Food
94,Dmart,03-02-2026,Paid Rs 94 to Dmart via UPI on 03-02-2026. Txn ID: 998877.,Groceries
1504,Reliance Fresh,29-01-2026,Txn of INR 1504 done at Reliance Fresh on 29-01-2026 using UPI.,Groceries
920,card ending 4455,16-01-2026,INR 920 charged on card ending 4455 at Indian Oil on 16-01-2026.,Travel
669,06-02-2026 to McD,06-02-2026,Rs. 669 debited from a/c ending XX1234 on 06-02-2026 to McDonalds. Avl Bal: Rs 15000.,Food
220,08-02-2026 to PVR,08-02-2026,Rs. 220 debited from a/c ending XX1234 on 08-02-2026 to PVR. Avl Bal: Rs 15000.,Entertainment
1251,Netmeds,13-01-2026,"Dear User, INR 1251 spent on Netmeds at 13-01-2026. Ref: 8932742.",Health
1393,Reliance Fresh,21-01-2026,UPI txn of Rs 1393 to Reliance Fresh on 21-01-2026 is successful.,Groceries
856,RedBus,27-01-2026,UPI txn of Rs 856 to RedBus on 27-01-2026 is successful.,Travel
3780,Dec,03-02-2026,Alert: You have spent Rs 3780 at Decathlon on 03-02-2026. Clear bal: Rs. 1200.00,Shopping
385,Zom,24-01-2026,Alert: You have spent Rs 385 at Zomato on 24-01-2026. Clear bal: Rs. 1200.00,Food
770,Reliance Trends,04-02-2026,You paid Rs 770 at Reliance Trends via POS on 04-02-2026.,Shopping
777,Starbucks,10-01-2026,Acct XX999 debited by Rs 777 for Starbucks on 10-01-2026.,Food
3959,Zara,30-01-2026,Alert: You have spent Rs 3959 at Zara on 30-01-2026. Clear bal: Rs. 1200.00,Shopping
869,04-02-2026 to Cafe Coffee Day,04-02-2026,Rs. 869 debited from a/c ending XX1234 on 04-02-2026 to Cafe Coffee Day. Avl Bal: Rs 15000.,Food
411,Dr Lal P,12-01-2026,You paid Rs 411 at Dr Lal Pathlabs via POS on 12-01-2026.,Health
251,11-01-2026 to Spencers,11-01-2026,Rs. 251 debited from a/c ending XX1234 on 11-01-2026 to Spencers. Avl Bal: Rs 15000.,Groceries
4442,Croma,08-02-2026,"Dear User, INR 4442 spent on Croma at 08-02-2026. Ref: 8932742.",Shopping
1203,PVR,07-02-2026,Paid Rs 1203 to PVR via UPI on 07-02-2026. Txn ID: 998877.,Entertainment
941,Metro,25-01-2026,Acct XX999 debited by Rs 941 for Metro on 25-01-2026.,Travel
325,25-01-2026 to Subway,25-01-2026,Rs. 325 debited from a/c ending XX1234 on 25-01-2026 to Subway. Avl Bal: Rs 15000.,Food
1472,Pizza Hut,07-02-2026,UPI txn of Rs 1472 to Pizza Hut on 07-02-2026 is successful.,Food
970,SpiceJet,06-02-2026,"Dear User, INR 970 spent on SpiceJet at 06-02-2026. Ref: 8932742.",Travel
1812,12-01-2026 to Dr Lal P,12-01-2026,Rs. 1812 debited from a/c ending XX1234 on 12-01-2026 to Dr Lal Pathlabs. Avl Bal: Rs 15000.,Health
369,1mg,23-01-2026,Alert: You have spent Rs 369 at 1mg on 23-01-2026. Clear bal: Rs. 1200.00,Health
360,Dmart,30-01-2026,Acct XX999 debited by Rs 360 for Dmart on 30-01-2026.,Groceries
739,Netflix,08-02-2026,UPI txn of Rs 739 to Netflix on 08-02-2026 is successful.,Entertainment
1036,card ending 4455,09-02-2026,INR 1036 charged on card ending 4455 at Swiggy on 09-02-2026.,Food
1076,Myntra,29-01-2026,You paid Rs 1076 at Myntra via POS on 29-01-2026.,Shopping
396,Hotstar,20-01-2026,Paid Rs 396 to Hotstar via UPI on 20-01-2026. Txn ID: 998877.,Entertainment
553,08-02-2026 to Dec,08-02-2026,Rs. 553 debited from a/c ending XX1234 on 08-02-2026 to Decathlon. Avl Bal: Rs 15000.,Shopping
769,IRCTC,17-01-2026,UPI txn of Rs 769 to IRCTC on 17-01-2026 is successful.,Travel
1839,Reliance Fresh,26-01-2026,"Dear User, INR 1839 spent on Reliance Fresh at 26-01-2026. Ref: 8932742.",Groceries
63,Reliance Fresh,17-01-2026,Acct XX999 debited by Rs 63 for Reliance Fresh on 17-01-2026.,Groceries
2155,18-01-2026 to Croma,18-01-2026,Rs. 2155 debited from a/c ending XX1234 on 18-01-2026 to Croma. Avl Bal: Rs 15000.,Shopping
1041,Prime Video,12-01-2026,Alert: You have spent Rs 1041 at Prime Video on 12-01-2026. Clear bal: Rs. 1200.00,Entertainment
1855,Flipkart,14-01-2026,Acct XX999 debited by Rs 1855 for Flipkart on 14-01-2026.,Shopping
890,Dmart,07-02-2026,You paid Rs 890 at Dmart via POS on 07-02-2026.,Groceries
1237,BigBasket,09-02-2026,Alert: You have spent Rs 1237 at BigBasket on 09-02-2026. Clear bal: Rs. 1200.00,Groceries
4699,Dec,23-01-2026,UPI txn of Rs 4699 to Decathlon on 23-01-2026 is successful.,Shopping
1263,26-01-2026 to Dominos,26-01-2026,Rs. 1263 debited from a/c ending XX1234 on 26-01-2026 to Dominos. Avl Bal: Rs 15000.,Food
1505,Gym Membership,13-01-2026,Txn of INR 1505 done at Gym Membership on 13-01-2026 using UPI.,Health
412,PVR,23-01-2026,Acct XX999 debited by Rs 412 for PVR on 23-01-2026.,Entertainment
880,card ending 4455,14-01-2026,INR 880 charged on card ending 4455 at Apollo Pharmacy on 14-01-2026.,Health
691,S,26-01-2026,You paid Rs 691 at SonyLIV via POS on 26-01-2026.,Entertainment
1081,Ajio,19-01-2026,UPI txn of Rs 1081 to Ajio on 19-01-2026 is successful.,Shopping
784,Practo,13-01-2026,UPI txn of Rs 784 to Practo on 13-01-2026 is successful.,Health
2000,04-02-2026 to More Supermarket,04-02-2026,Rs. 2000 debited from a/c ending XX1234 on 04-02-2026 to More Supermarket. Avl Bal: Rs 15000.,Groceries
1466,Spencers,07-02-2026,Txn of INR 1466 done at Spencers on 07-02-2026 using UPI.,Groceries
646,card ending 4455,09-02-2026,INR 646 charged on card ending 4455 at SpiceJet on 09-02-2026.,Travel
1110,Spencers,03-02-2026,Paid Rs 1110 to Spencers via UPI on 03-02-2026. Txn ID: 998877.,Groceries
1798,Dmart,21-01-2026,Paid Rs 1798 to Dmart via UPI on 21-01-2026. Txn ID: 998877.,Groceries
2188,Zara,26-01-2026,"Dear User, INR 2188 spent on Zara at 26-01-2026. Ref: 8932742.",Shopping
1625,Reliance Fresh,26-01-2026,UPI txn of Rs 1625 to Reliance Fresh on 26-01-2026 is successful.,Groceries
1580,Reliance Fresh,17-01-2026,You paid Rs 1580 at Reliance Fresh via POS on 17-01-2026.,Groceries
1944,Reliance Fresh,10-01-2026,Acct XX999 debited by Rs 1944 for Reliance Fresh on 10-01-2026.,Groceries
4440,Nike,19-01-2026,"Dear User, INR 4440 spent on Nike at 19-01-2026. Ref: 8932742.",Shopping
540,Apollo Pharmacy,01-02-2026,"Dear User, INR 540 spent on Apollo Pharmacy at 01-02-2026. Ref: 8932742.",Health
345,Rapido,21-01-2026,Txn of INR 345 done at Rapido on 21-01-2026 using UPI.,Travel
1271,Prime Video,05-02-2026,"Dear User, INR 1271 spent on Prime Video at 05-02-2026. Ref: 8932742.",Entertainment
313,Dmart,18-01-2026,Paid Rs 313 to Dmart via UPI on 18-01-2026. Txn ID: 998877.,Groceries
1109,Reliance Fresh,02-02-2026,UPI txn of Rs 1109 to Reliance Fresh on 02-02-2026 is successful.,Groceries
4308,Amaz,23-01-2026,"Dear User, INR 4308 spent on Amazon at 23-01-2026. Ref: 8932742.",Shopping
2741,Amaz,10-01-2026,Alert: You have spent Rs 2741 at Amazon on 10-01-2026. Clear bal: Rs. 1200.00,Shopping
1078,card ending 4455,19-01-2026,INR 1078 charged on card ending 4455 at Netmeds on 19-01-2026.,Health
1863,Zara,25-01-2026,Txn of INR 1863 done at Zara on 25-01-2026 using UPI.,Shopping
881,BigBasket,30-01-2026,UPI txn of Rs 881 to BigBasket on 30-01-2026 is successful.,Groceries
220,Dr Lal P,18-01-2026,UPI txn of Rs 220 to Dr Lal Pathlabs on 18-01-2026 is successful.,Health
1661,card ending 4455,17-01-2026,INR 1661 charged on card ending 4455 at Netmeds on 17-01-2026.,Health
580,Indian Oil,13-01-2026,Txn of INR 580 done at Indian Oil on 13-01-2026 using UPI.,Travel
492,Burger King,19-01-2026,Alert: You have spent Rs 492 at Burger King on 19-01-2026. Clear bal: Rs. 1200.00,Food
1133,Ola,30-01-2026,You paid Rs 1133 at Ola via POS on 30-01-2026.,Travel
633,Swiggy,24-01-2026,Alert: You have spent Rs 633 at Swiggy on 24-01-2026. Clear bal: Rs. 1200.00,Food
1467,Spotify,27-01-2026,Paid Rs 1467 to Spotify via UPI on 27-01-2026. Txn ID: 998877.,Entertainment
699,Blinkit,05-02-2026,UPI txn of Rs 699 to Blinkit on 05-02-2026 is successful.,Groceries
1624,Myntra,05-02-2026,Alert: You have spent Rs 1624 at Myntra on 05-02-2026. Clear bal: Rs. 1200.00,Shopping
1935,Indian Oil,11-01-2026,Alert: You have spent Rs 1935 at Indian Oil on 11-01-2026. Clear bal: Rs. 1200.00,Travel
421,03-02-2026 to Zom,03-02-2026,Rs. 421 debited from a/c ending XX1234 on 03-02-2026 to Zomato. Avl Bal: Rs 15000.,Food
1080,Netmeds,25-01-2026,UPI txn of Rs 1080 to Netmeds on 25-01-2026 is successful.,Health
929,Dmart,27-01-2026,Paid Rs 929 to Dmart via UPI on 27-01-2026. Txn ID: 998877.,Groceries
873,Spencers,20-01-2026,Acct XX999 debited by Rs 873 for Spencers on 20-01-2026.,Groceries
1561,Spencers,13-01-2026,Paid Rs 1561 to Spencers via UPI on 13-01-2026. Txn ID: 998877.,Groceries
2824,Amaz,05-02-2026,You paid Rs 2824 at Amazon via POS on 05-02-2026.,Shopping
675,BigBasket,01-02-2026,Alert: You have spent Rs 675 at BigBasket on 01-02-2026. Clear bal: Rs. 1200.00,Groceries
2557,Amaz,03-02-2026,UPI txn of Rs 2557 to Amazon on 03-02-2026 is successful.,Shopping
1794,Netflix,25-01-2026,UPI txn of Rs 1794 to Netflix on 25-01-2026 is successful.,Entertainment
1389,Hotstar,09-02-2026,UPI txn of Rs 1389 to Hotstar on 09-02-2026 is successful.,Entertainment
1900,Ola,07-02-2026,UPI txn of Rs 1900 to Ola on 07-02-2026 is successful.,Travel
184,Zom,13-01-2026,UPI txn of Rs 184 to Zomato on 13-01-2026 is successful.,Food
55,IndiGo,29-01-2026,"Dear User, INR 55 spent on IndiGo at 29-01-2026. Ref: 8932742.",Travel
328,IndiGo,05-02-2026,Acct XX999 debited by Rs 328 for IndiGo on 05-02-2026.,Travel
152,card ending 4455,28-01-2026,INR 152 charged on card ending 4455 at Apollo Pharmacy on 28-01-2026.,Health
4035,Flipkart,29-01-2026,Paid Rs 4035 to Flipkart via UPI on 29-01-2026. Txn ID: 998877.,Shopping
587,BigBasket,04-02-2026,Acct XX999 debited by Rs 587 for BigBasket on 04-02-2026.,Groceries
3089,Myntra,08-02-2026,Paid Rs 3089 to Myntra via UPI on 08-02-2026. Txn ID: 998877.,Shopping
296,11-01-2026 to BookMyShow,11-01-2026,Rs. 296 debited from a/c ending XX1234 on 11-01-2026 to BookMyShow. Avl Bal: Rs 15000.,Entertainment
145,Dr Lal P,27-01-2026,You paid Rs 145 at Dr Lal Pathlabs via POS on 27-01-2026.,Health
655,16-01-2026 to KFC,16-01-2026,Rs. 655 debited from a/c ending XX1234 on 16-01-2026 to KFC. Avl Bal: Rs 15000.,Food
1412,Indian Oil,16-01-2026,You paid Rs 1412 at Indian Oil via POS on 16-01-2026.,Travel
4472,card ending 4455,09-02-2026,INR 4472 charged on card ending 4455 at Croma on 09-02-2026.,Shopping
1710,card ending 4455,30-01-2026,INR 1710 charged on card ending 4455 at SonyLIV on 30-01-2026.,Entertainment
733,20-01-2026 to SpiceJet,20-01-2026,Rs. 733 debited from a/c ending XX1234 on 20-01-2026 to SpiceJet. Avl Bal: Rs 15000.,Travel
1332,Reliance Trends,27-01-2026,"Dear User, INR 1332 spent on Reliance Trends at 27-01-2026. Ref: 8932742.",Shopping
1533,card ending 4455,25-01-2026,INR 1533 charged on card ending 4455 at BigBasket on 25-01-2026.,Groceries
2022,card ending 4455,07-02-2026,INR 2022 charged on card ending 4455 at Myntra on 07-02-2026.,Shopping
554,Gym Membership,08-02-2026,Alert: You have spent Rs 554 at Gym Membership on 08-02-2026. Clear bal: Rs. 1200.00,Health
1872,Netmeds,23-01-2026,"Dear User, INR 1872 spent on Netmeds at 23-01-2026. Ref: 8932742.",Health
719,Spencers,18-01-2026,Alert: You have spent Rs 719 at Spencers on 18-01-2026. Clear bal: Rs. 1200.00,Groceries
141,card ending 4455,29-01-2026,INR 141 charged on card ending 4455 at IRCTC on 29-01-2026.,Travel
1220,Uber,09-02-2026,Paid Rs 1220 to Uber via UPI on 09-02-2026. Txn ID: 998877.,Travel
91,Uber,09-02-2026,"Dear User, INR 91 spent on Uber at 09-02-2026. Ref: 8932742.",Travel
905,1mg,30-01-2026,"Dear User, INR 905 spent on 1mg at 30-01-2026. Ref: 8932742.",Health
786,1mg,29-01-2026,UPI txn of Rs 786 to 1mg on 29-01-2026 is successful.,Health
1193,1mg,17-01-2026,Txn of INR 1193 done at 1mg on 17-01-2026 using UPI.,Health
585,Shell Petrol,31-01-2026,Alert: You have spent Rs 585 at Shell Petrol on 31-01-2026. Clear bal: Rs. 1200.00,Travel
1769,Hotstar,28-01-2026,Alert: You have spent Rs 1769 at Hotstar on 28-01-2026. Clear bal: Rs. 1200.00,Entertainment
1307,Gym Membership,28-01-2026,Paid Rs 1307 to Gym Membership via UPI on 28-01-2026. Txn ID: 998877.,Health
504,Burger King,30-01-2026,Acct XX999 debited by Rs 504 for Burger King on 30-01-2026.,Food
1240,Nike,10-01-2026,Txn of INR 1240 done at Nike on 10-01-2026 using UPI.,Shopping
961,Blinkit,27-01-2026,You paid Rs 961 at Blinkit via POS on 27-01-2026.,Groceries
716,12-01-2026 to More Supermarket,12-01-2026,Rs. 716 debited from a/c ending XX1234 on 12-01-2026 to More Supermarket. Avl Bal: Rs 15000.,Groceries
1941,Netflix,19-01-2026,You paid Rs 1941 at Netflix via POS on 19-01-2026.,Entertainment
665,Starbucks,14-01-2026,You paid Rs 665 at Starbucks via POS on 14-01-2026.,Food
1568,Netmeds,29-01-2026,UPI txn of Rs 1568 to Netmeds on 29-01-2026 is successful.,Health
946,Netflix,14-01-2026,Acct XX999 debited by Rs 946 for Netflix on 14-01-2026.,Entertainment
3428,Ajio,04-02-2026,"Dear User, INR 3428 spent on Ajio at 04-02-2026. Ref: 8932742.",Shopping
4015,Zara,15-01-2026,Paid Rs 4015 to Zara via UPI on 15-01-2026. Txn ID: 998877.,Shopping
1379,card ending 4455,30-01-2026,INR 1379 charged on card ending 4455 at IndiGo on 30-01-2026.,Travel
509,Spotify,10-01-2026,Txn of INR 509 done at Spotify on 10-01-2026 using UPI.,Entertainment
1037,Hotstar,06-02-2026,Txn of INR 1037 done at Hotstar on 06-02-2026 using UPI.,Entertainment
1091,Zom,15-01-2026,You paid Rs 1091 at Zomato via POS on 15-01-2026.,Food
828,Practo,13-01-2026,Paid Rs 828 to Practo via UPI on 13-01-2026. Txn ID: 998877.,Health
301,Apollo Pharmacy,31-01-2026,You paid Rs 301 at Apollo Pharmacy via POS on 31-01-2026.,Health
145,RedBus,14-01-2026,You paid Rs 145 at RedBus via POS on 14-01-2026.,Travel
679,Uber,28-01-2026,Txn of INR 679 done at Uber on 28-01-2026 using UPI.,Travel
744,card ending 4455,31-01-2026,INR 744 charged on card ending 4455 at Practo on 31-01-2026.,Health
219,Spotify,09-02-2026,Txn of INR 219 done at Spotify on 09-02-2026 using UPI.,Entertainment
384,Reliance Fresh,29-01-2026,Alert: You have spent Rs 384 at Reliance Fresh on 29-01-2026. Clear bal: Rs. 1200.00,Groceries
3677,Nike,25-01-2026,Paid Rs 3677 to Nike via UPI on 25-01-2026. Txn ID: 998877.,Shopping
952,Ola,23-01-2026,Alert: You have spent Rs 952 at Ola on 23-01-2026. Clear bal: Rs. 1200.00,Travel
2228,Nike,21-01-2026,You paid Rs 2228 at Nike via POS on 21-01-2026.,Shopping
1880,30-01-2026 to BigBasket,30-01-2026,Rs. 1880 debited from a/c ending XX1234 on 30-01-2026 to BigBasket. Avl Bal: Rs 15000.,Groceries
2616,15-01-2026 to Ajio,15-01-2026,Rs. 2616 debited from a/c ending XX1234 on 15-01-2026 to Ajio. Avl Bal: Rs 15000.,Shopping
1621,S,26-01-2026,You paid Rs 1621 at SonyLIV via POS on 26-01-2026.,Entertainment
711,IndiGo,23-01-2026,Txn of INR 711 done at IndiGo on 23-01-2026 using UPI.,Travel
1524,Shell Petrol,29-01-2026,UPI txn of Rs 1524 to Shell Petrol on 29-01-2026 is successful.,Travel
927,Ola,12-01-2026,You paid Rs 927 at Ola via POS on 12-01-2026.,Travel
91,13-01-2026 to 1mg,13-01-2026,Rs. 91 debited from a/c ending XX1234 on 13-01-2026 to 1mg. Avl Bal: Rs 15000.,Health
1244,Zom,27-01-2026,Txn of INR 1244 done at Zomato on 27-01-2026 using UPI.,Food
1111,Dominos,31-01-2026,"Dear User, INR 1111 spent on Dominos at 31-01-2026. Ref: 8932742.",Food
1242,Shell Petrol,16-01-2026,Acct XX999 debited by Rs 1242 for Shell Petrol on 16-01-2026.,Travel
1647,Hotstar,25-01-2026,You paid Rs 1647 at Hotstar via POS on 25-01-2026.,Entertainment
1261,16-01-2026 to RedBus,16-01-2026,Rs. 1261 debited from a/c ending XX1234 on 16-01-2026 to RedBus. Avl Bal: Rs 15000.,Travel
1658,1mg,07-02-2026,"Dear User, INR 1658 spent on 1mg at 07-02-2026. Ref: 8932742.",Health
363,IRCTC,31-01-2026,You paid Rs 363 at IRCTC via POS on 31-01-2026.,Travel
689,card ending 4455,22-01-2026,INR 689 charged on card ending 4455 at Dmart on 22-01-2026.,Groceries
1535,Uber,31-01-2026,UPI txn of Rs 1535 to Uber on 31-01-2026 is successful.,Travel
1179,card ending 4455,17-01-2026,INR 1179 charged on card ending 4455 at Dmart on 17-01-2026.,Groceries
1535,PVR,05-02-2026,Paid Rs 1535 to PVR via UPI on 05-02-2026. Txn ID: 998877.,Entertainment
1196,Burger King,27-01-2026,You paid Rs 1196 at Burger King via POS on 27-01-2026.,Food
1177,McD,02-02-2026,You paid Rs 1177 at McDonalds via POS on 02-02-2026.,Food
1574,Spencers,26-01-2026,"Dear User, INR 1574 spent on Spencers at 26-01-2026. Ref: 8932742.",Groceries
56,Indian Oil,20-01-2026,Txn of INR 56 done at Indian Oil on 20-01-2026 using UPI.,Travel
1057,23-01-2026 to Zom,23-01-2026,Rs. 1057 debited from a/c ending XX1234 on 23-01-2026 to Zomato. Avl Bal: Rs 15000.,Food
257,03-02-2026 to Dmart,03-02-2026,Rs. 257 debited from a/c ending XX1234 on 03-02-2026 to Dmart. Avl Bal: Rs 15000.,Groceries
1572,Dr Lal P,21-01-2026,"Dear User, INR 1572 spent on Dr Lal Pathlabs at 21-01-2026. Ref: 8932742.",Health
857,RedBus,28-01-2026,UPI txn of Rs 857 to RedBus on 28-01-2026 is successful.,Travel
529,Hotstar,21-01-2026,Alert: You have spent Rs 529 at Hotstar on 21-01-2026. Clear bal: Rs. 1200.00,Entertainment
1456,19-01-2026 to Dec,19-01-2026,Rs. 1456 debited from a/c ending XX1234 on 19-01-2026 to Decathlon. Avl Bal: Rs 15000.,Shopping
1416,Pizza Hut,04-02-2026,"Dear User, INR 1416 spent on Pizza Hut at 04-02-2026. Ref: 8932742.",Food
405,Prime Video,10-01-2026,Paid Rs 405 to Prime Video via UPI on 10-01-2026. Txn ID: 998877.,Entertainment
647,Reliance Fresh,23-01-2026,Txn of INR 647 done at Reliance Fresh on 23-01-2026 using UPI.,Groceries
469,Subway,31-01-2026,"Dear User, INR 469 spent on Subway at 31-01-2026. Ref: 8932742.",Food
4451,card ending 4455,24-01-2026,INR 4451 charged on card ending 4455 at Reliance Trends on 24-01-2026.,Shopping
433,Blinkit,24-01-2026,"Dear User, INR 433 spent on Blinkit at 24-01-2026. Ref: 8932742.",Groceries
782,Reliance Fresh,14-01-2026,You paid Rs 782 at Reliance Fresh via POS on 14-01-2026.,Groceries
566,Starbucks,22-01-2026,"Dear User, INR 566 spent on Starbucks at 22-01-2026. Ref: 8932742.",Food
1890,PVR,13-01-2026,Alert: You have spent Rs 1890 at PVR on 13-01-2026. Clear bal: Rs. 1200.00,Entertainment
1632,Metro,07-02-2026,Txn of INR 1632 done at Metro on 07-02-2026 using UPI.,Travel
1246,IRCTC,22-01-2026,Alert: You have spent Rs 1246 at IRCTC on 22-01-2026. Clear bal: Rs. 1200.00,Travel
1955,Indian Oil,03-02-2026,Paid Rs 1955 to Indian Oil via UPI on 03-02-2026. Txn ID: 998877.,Travel
1076,Swiggy,13-01-2026,Paid Rs 1076 to Swiggy via UPI on 13-01-2026. Txn ID: 998877.,Food
2535,Nike,11-01-2026,Alert: You have spent Rs 2535 at Nike on 11-01-2026. Clear bal: Rs. 1200.00,Shopping
1133,Pizza Hut,11-01-2026,You paid Rs 1133 at Pizza Hut via POS on 11-01-2026.,Food
147,Rapido,26-01-2026,"Dear User, INR 147 spent on Rapido at 26-01-2026. Ref: 8932742.",Travel
444,Uber,30-01-2026,Txn of INR 444 done at Uber on 30-01-2026 using UPI.,Travel
858,Ola,18-01-2026,Txn of INR 858 done at Ola on 18-01-2026 using UPI.,Travel
502,BookMyShow,24-01-2026,UPI txn of Rs 502 to BookMyShow on 24-01-2026 is successful.,Entertainment
709,SpiceJet,10-01-2026,Alert: You have spent Rs 709 at SpiceJet on 10-01-2026. Clear bal: Rs. 1200.00,Travel
1285,Dr Lal P,20-01-2026,Paid Rs 1285 to Dr Lal Pathlabs via UPI on 20-01-2026. Txn ID: 998877.,Health
506,card ending 4455,08-02-2026,INR 506 charged on card ending 4455 at Spotify on 08-02-2026.,Entertainment
2123,H&M,26-01-2026,Acct XX999 debited by Rs 2123 for H&M on 26-01-2026.,Shopping
1105,H&M,31-01-2026,Alert: You have spent Rs 1105 at H&M on 31-01-2026. Clear bal: Rs. 1200.00,Shopping
870,S,10-01-2026,Paid Rs 870 to SonyLIV via UPI on 10-01-2026. Txn ID: 998877.,Entertainment
1842,Practo,16-01-2026,You paid Rs 1842 at Practo via POS on 16-01-2026.,Health
1230,Reliance Fresh,12-01-2026,You paid Rs 1230 at Reliance Fresh via POS on 12-01-2026.,Groceries
964,Apollo Pharmacy,06-02-2026,Paid Rs 964 to Apollo Pharmacy via UPI on 06-02-2026. Txn ID: 998877.,Health
1920,Practo,08-02-2026,Alert: You have spent Rs 1920 at Practo on 08-02-2026. Clear bal: Rs. 1200.00,Health
1188,14-01-2026 to Gaana,14-01-2026,Rs. 1188 debited from a/c ending XX1234 on 14-01-2026 to Gaana. Avl Bal: Rs 15000.,Entertainment
2185,Reliance Trends,12-01-2026,Acct XX999 debited by Rs 2185 for Reliance Trends on 12-01-2026.,Shopping
589,card ending 4455,05-02-2026,INR 589 charged on card ending 4455 at Starbucks on 05-02-2026.,Food
4754,Zara,13-01-2026,Txn of INR 4754 done at Zara on 13-01-2026 using UPI.,Shopping
1931,Rapido,11-01-2026,You paid Rs 1931 at Rapido via POS on 11-01-2026.,Travel
1611,Netmeds,07-02-2026,Txn of INR 1611 done at Netmeds on 07-02-2026 using UPI.,Health
1180,Subway,12-01-2026,You paid Rs 1180 at Subway via POS on 12-01-2026.,Food
661,H&M,17-01-2026,You paid Rs 661 at H&M via POS on 17-01-2026.,Shopping
1642,Dmart,04-02-2026,Paid Rs 1642 to Dmart via UPI on 04-02-2026. Txn ID: 998877.,Groceries
664,Practo,20-01-2026,"Dear User, INR 664 spent on Practo at 20-01-2026. Ref: 8932742.",Health
256,Netmeds,21-01-2026,Paid Rs 256 to Netmeds via UPI on 21-01-2026. Txn ID: 998877.,Health
1436,16-01-2026 to Dmart,16-01-2026,Rs. 1436 debited from a/c ending XX1234 on 16-01-2026 to Dmart. Avl Bal: Rs 15000.,Groceries
210,Dmart,01-02-2026,Alert: You have spent Rs 210 at Dmart on 01-02-2026. Clear bal: Rs. 1200.00,Groceries
1705,29-01-2026 to Dmart,29-01-2026,Rs. 1705 debited from a/c ending XX1234 on 29-01-2026 to Dmart. Avl Bal: Rs 15000.,Groceries
1827,BigBasket,16-01-2026,UPI txn of Rs 1827 to BigBasket on 16-01-2026 is successful.,Groceries
890,Netmeds,07-02-2026,Acct XX999 debited by Rs 890 for Netmeds on 07-02-2026.,Health
1079,card ending 4455,29-01-2026,INR 1079 charged on card ending 4455 at Decathlon on 29-01-2026.,Shopping
1058,25-01-2026 to Shell Petrol,25-01-2026,Rs. 1058 debited from a/c ending XX1234 on 25-01-2026 to Shell Petrol. Avl Bal: Rs 15000.,Travel
422,Reliance Fresh,26-01-2026,Alert: You have spent Rs 422 at Reliance Fresh on 26-01-2026. Clear bal: Rs. 1200.00,Groceries
1727,card ending 4455,30-01-2026,INR 1727 charged on card ending 4455 at H&M on 30-01-2026.,Shopping
541,Uber,07-02-2026,Txn of INR 541 done at Uber on 07-02-2026 using UPI.,Travel
1294,Subway,25-01-2026,Alert: You have spent Rs 1294 at Subway on 25-01-2026. Clear bal: Rs. 1200.00,Food
1408,SpiceJet,24-01-2026,Acct XX999 debited by Rs 1408 for SpiceJet on 24-01-2026.,Travel
2803,Nike,27-01-2026,Txn of INR 2803 done at Nike on 27-01-2026 using UPI.,Shopping
3984,Flipkart,22-01-2026,UPI txn of Rs 3984 to Flipkart on 22-01-2026 is successful.,Shopping
859,Rapido,12-01-2026,UPI txn of Rs 859 to Rapido on 12-01-2026 is successful.,Travel
